EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 209, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 210, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 211, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 212, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 213, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 214, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 215, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 216, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 217, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 218, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 219, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 220, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 221, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 222, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 223, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 224, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 225, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 226, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 227, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 228, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 229, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 230, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 231, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 232, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 233, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 234, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 235, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 236, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 237, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 238, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 239, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 240, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 241, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 242, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 243, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 244, ErrorFrames = 0
